2025-01-23 22:42:58 install python3-uvloop:amd64 <none> 0.17.0+ds1-2+b2
2025-01-23 22:42:58 status half-installed python3-uvloop:amd64 0.17.0+ds1-2+b2
2025-01-23 22:42:58 status unpacked python3-uvloop:amd64 0.17.0+ds1-2+b2
2025-01-23 22:42:58 install sensible-mda:amd64 <none> 8.17.1.9-2+deb12u2
2025-01-23 22:42:58 status half-installed sensible-mda:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:42:58 status unpacked sensible-mda:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:42:58 install sendmail:all <none> 8.17.1.9-2+deb12u2
2025-01-23 22:42:58 status half-installed sendmail:all 8.17.1.9-2+deb12u2
2025-01-23 22:42:58 status unpacked sendmail:all 8.17.1.9-2+deb12u2
2025-01-23 22:42:58 startup packages configure
2025-01-23 22:42:58 configure javascript-common:all 11+nmu1 <none>
2025-01-23 22:42:58 status unpacked javascript-common:all 11+nmu1
2025-01-23 22:42:58 status half-configured javascript-common:all 11+nmu1
2025-01-23 22:42:58 status installed javascript-common:all 11+nmu1
2025-01-23 22:42:58 configure python3-attr:all 22.2.0-1 <none>
2025-01-23 22:42:58 status unpacked python3-attr:all 22.2.0-1
2025-01-23 22:42:58 status half-configured python3-attr:all 22.2.0-1
2025-01-23 22:42:58 status installed python3-attr:all 22.2.0-1
2025-01-23 22:42:58 configure sendmail-cf:all 8.17.1.9-2+deb12u2 <none>
2025-01-23 22:42:58 status unpacked sendmail-cf:all 8.17.1.9-2+deb12u2
2025-01-23 22:42:58 status half-configured sendmail-cf:all 8.17.1.9-2+deb12u2
2025-01-23 22:42:58 status installed sendmail-cf:all 8.17.1.9-2+deb12u2
2025-01-23 22:42:58 configure liblockfile-bin:amd64 1.17-1+b1 <none>
2025-01-23 22:42:58 status unpacked liblockfile-bin:amd64 1.17-1+b1
2025-01-23 22:42:58 status half-configured liblockfile-bin:amd64 1.17-1+b1
2025-01-23 22:42:58 status installed liblockfile-bin:amd64 1.17-1+b1
2025-01-23 22:42:58 configure psmisc:amd64 23.6-1 <none>
2025-01-23 22:42:58 status unpacked psmisc:amd64 23.6-1
2025-01-23 22:42:58 status half-configured psmisc:amd64 23.6-1
2025-01-23 22:42:58 status installed psmisc:amd64 23.6-1
2025-01-23 22:42:58 configure libyaml-0-2:amd64 0.2.5-1 <none>
